"rm_subgroup","category","covariate","n_obs","beta","se","t_stat","p_classical","p_cor_test","p_waldtest_hc0","p_waldtest_hc3","p_perk","p_perm_reg","classical_sig","cor_test_sig","hc0_sig","hc3_sig","perk_sig","perm_reg_sig","all_agree","covariate_clean"
"RM, Married Parents","Segregation","Segregation.of.Affluence...p75.",695,0.1248090063841,0.0376898314380917,3.31147690562396,0.00097619230598408,0.000976192305984088,0.000568614997365718,0.000605676149085075,0.002,0.001999800019998,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Segregation of Affluence (>p75)"
"RM, Married Parents","Segregation","Frac..with.Commute...15.Mins",695,-0.505097103614171,0.0327850341548069,-15.4063314751836,2.84132404980409e-46,2.84132404980364e-46,6.05675200489437e-35,1.50939193500481e-34,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Share with Commute < 15 Mins"
"RM, Married Parents","Income_Distribution","Household.Income.per.capita",695,-0.131255997491894,0.0376582157918674,-3.48545449464019,0.000522257845090384,0.000522257845090395,0.000244478024471358,0.000270930835006618,0,0.0010998900109989,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Household Income per Capita"
"RM, Married Parents","Income_Distribution","Gini",695,0.325811324033648,0.0359140986744086,9.07196159890857,1.19132441564397e-18,1.19132441564402e-18,3.5219220165851e-12,7.1911721746474e-12,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Gini Coefficient"
"RM, Married Parents","Income_Distribution","Top.1..Income.Share",695,0.0406317285185709,0.0379554889048367,1.07050994970567,0.284762527732997,0.284762527732997,0.458201635325665,0.509167405395579,0.432,0.107789221077892,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Top 1% Income Share"
"RM, Married Parents","Income_Distribution","Gini.Bottom.99.",695,0.423118245469275,0.034418923080462,12.2931866427122,1.46796064965044e-31,1.46796064965033e-31,2.28895368013813e-30,4.31970303279113e-30,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Gini Bottom 99%"
"RM, Married Parents","Income_Distribution","Frac..Between.p25.and.p75",695,-0.397457595681702,0.0348575219902395,-11.4023479865549,1.01019173944363e-27,1.0101917394439e-27,6.44144418225777e-23,1.34319537334682e-22,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Fraction Middle Class"
"RM, Married Parents","K12_Education","School.Expenditure.per.Student",691,-0.214829479768376,0.0372074616528065,-5.77382788895978,1.17235910792623e-08,1.17235910792629e-08,2.80314313626074e-09,3.67962119623171e-09,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"School Expenditure per Student"
"RM, Married Parents","K12_Education","Teacher.Student.Ratio",666,0.0530860106223653,0.0387528054848431,1.36986238694714,0.171192895808323,0.171192895808323,0.212086220674812,0.215828599430349,0.182,0.131786821317868,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Teacher-Student Ratio"
"RM, Married Parents","K12_Education","Test.Score.Percentile..Income.Adjusted",691,-0.28856066724585,0.036476382428406,-7.91089050051008,1.01952147346581e-14,1.01952147346583e-14,8.78926682815814e-10,1.29300193959784e-09,0,9.99900009999e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Test Score Percentile"
