,cz,czname,state_id,n_ige_rank_8082,e_rank_b,s_rank,prob_p1_k5,e_rank_b_c1821,s_c1821,e_rank_b_teenbirth_fem,s_teenbirth_fem,e_rank_b_femfam,s_femfam,e_rank_b_malefam,s_malefam,e_rank_b_indv_r_m,s_indv_r_m,e_rank_b_coli4,s_coli4,e_rank_b_1112,s_1112,e_rank_b_singlepar,s_singlepar,e_rank_b_marriedpar,s_marriedpar,e_rank_b_8385,s_8385,e_rank_b_8085,s_8085,e_rank_b_w80,s_w80,e_rank_b_povertyline,s_povertyline,e_rank_b_cq,s_cq,n250,pop2000,intersects_msa,cs_race_bla,cs_race_theil_2000,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,frac_traveltime_lt15,hhinc00,gini,inc_share_1perc,gini99,frac_middleclass,taxrate,subcty_total_expenditure_pc,tax_st_diff_top20,eitc_exposure,ccd_exp_tot,ccd_pup_tch_ratio,score_r,dropout_r,num_inst_pc,tuition,gradrate_r,cs_labforce,cs_elf_ind_man,d_tradeusch_pw_1990,frac_worked1416,mig_inflow,mig_outflow,cs_born_foreign,scap_ski90pcm,rel_tot,crime_violent,cs_fam_wkidsinglemom,cs_divorced,cs_married,incgrowth0010,cons
60,4103,El Dorado,AR,3942.0,37.579,0.43772,0.0563107,41.30575,0.70787,31.07625,-0.40195,38.693,0.46944,36.5135,0.40978,41.20525,0.37429,38.66475,0.42723,36.933,0.40596,35.168,0.36756,40.3345,0.38506,40.061,0.412,38.84375,0.42303,,,66.4865,0.42402,38.087,0.16015000000000001,1.0,89373,0,0.3436384,0.0933336,0.0221457,0.023424,0.0229192,0.436969,30514.27,0.44884,9.389,0.35495,0.49518,0.0128945,1389.883,1.0,0.0,4.7253557,16.560445,-9.727983,0.0054867,0.0223781,1244.45,-0.0692945,0.5621301,0.2722701,1.45236,0.0026725,0.008537254,0.0130352567,0.0096026,-0.21225491,0.6722053,0.0021259,0.2704004,0.1063052,0.5546431000000001,-0.0112658,1.0
61,4200,Little Rock,AR,24072.0,37.99,0.39308,0.0534808,39.346,0.70076,28.232,-0.3612,39.57375,0.39907,36.423,0.3884,40.71225,0.36045,39.178,0.39096,38.41475,0.35015,35.968,0.3968,41.14825,0.33301,39.854,0.36648,38.9605,0.37846,42.384,0.33268,67.96375,0.37299,37.70513,0.16979500000000003,1.0,630854,1,0.2067547,0.2781138,0.0726473,0.0648321,0.0766673,0.2925001,36101.2,0.4842,11.732,0.36688,0.5049,0.0166927,1686.617,1.0,0.0,5.3646824,17.403529,-9.09216,0.006978,0.0174367,4960.86,-0.1135496,0.6632895,0.1139406,1.352864,0.0042819,0.0200727902,0.0177759038,0.022963,-0.04735735,0.5768307,0.0033272,0.2465989,0.1195451,0.5625128,-0.0053973,1.0
62,4301,Stuttgart,AR,1771.0,39.83075,0.39863,0.0532095,44.19425,0.64057,27.5005,-0.39286,41.01975,0.39155,38.556,0.40544,43.96875,0.35447,41.59725,0.38649,38.37275,0.35707,36.47025,0.27281,42.971,0.34548,42.05475,0.39583,40.8935,0.3969,41.58225,0.35349,72.2855,0.32998,39.14731,0.168185,1.0,40542,0,0.2489024,0.1133922,0.0180924,0.0228579,0.015463,0.5289947,30499.94,0.44503,9.649,0.34854,0.47431,0.0134976,1426.595,1.0,0.0,4.6728395,15.863876,-12.25434,0.0128819,,,,0.57775,0.2001415,6.220409,0.0043944,0.0122095605,0.0162054166,0.0042314,-0.36749741,0.6576636,0.0014306,0.2744706,0.1109959,0.5679548,-0.0003063,1.0
63,4302,Searcy,AR,3694.0,41.313,0.37224,0.0895457,37.941,0.77428,28.4325,-0.34962,42.037,0.40824,40.56325,0.33357,44.3365,0.29226,43.23325,0.36089,39.98925,0.35221,37.98525,0.37601,43.73875,0.31799,44.06525,0.33961,42.66925,0.35461,42.9125,0.3347,69.72475,0.38015,36.79338,0.15857,1.0,94324,0,0.0876765,0.1350294,0.0269893,0.0253674,0.0290038,0.4212119,28364.96,0.43444,8.856,0.34588,0.51408,0.0116559,1251.84,1.0,0.0,4.5325458,17.108798,3.539932,0.0070126,0.0212035,5684.06,0.0590741,0.5950115,0.1833537,1.798057,0.0038212,0.0194330181,0.0200267164,0.0123112,-0.74224194,0.6104809,0.0010708,0.1966913,0.1053368,0.6151684,-0.0026362,1.0
64,4401,London,KY,4974.0,39.0955,0.35722,0.0636387,37.851,0.76584,24.53775,-0.29785,40.84225,0.37409,37.3725,0.34134,41.04125,0.32157,41.49,0.33936,38.23275,0.33099,37.81075,0.38555,39.82875,0.33899,40.12875,0.34679,39.63575,0.35031,39.1005,0.35646,66.617,0.42084,35.22669,0.18678,1.0,144931,0,0.0128268,0.1053509,0.0283786,0.0255241,0.0248995,0.3448248,22044.17,0.51097,13.431,0.37666,0.47547,0.0093803,1163.926,0.2,0.0,6.0147108,16.713384,-2.237019,0.0161044,0.0137997,10136.0,0.0275834,0.4922809,0.1639418,0.2754896,0.0031082,0.0065203442,0.0059131587,0.0065298,-1.4618113,0.5068757,0.0004002,0.2007874,0.1065301,0.6090464,0.0022491,1.0
65,4402,Richmond,KY,3623.0,38.85325,0.34829,0.0591133,36.38175,0.70639,24.20925,-0.29231,39.76425,0.37029,37.90225,0.32385,41.87725,0.29065,40.73525,0.33785,38.61675,0.32967,36.37775,0.39039,40.2745,0.31574,40.1935,0.3329,39.547,0.33932,38.88125,0.34985,65.96075,0.38679,35.9035,0.167035,1.0,116256,0,0.0273964,0.1052819,0.0506054,0.0470205,0.0575821,0.3499787,25663.87,0.42264,7.78,0.34484,0.50869,0.0133128,1205.431,0.2,0.0,5.9322905,15.890095,-0.1567879,-0.0026519,0.0172034,1728.76,0.0668838,0.5941269,0.2046377,2.07581,0.0033472,0.0198957473,0.0159045555,0.0099907,-1.3284847,0.4127615,0.0021504,0.2050258,0.10738,0.5554757,0.0008849,1.0
66,4501,West Liberty,KY,1613.0,38.44575,0.34151,0.0689198,39.56025,0.70981,18.72925,-0.18387,40.844,0.31924,36.157,0.35764,39.589,0.33352,40.823,0.3252,36.61,0.35684,34.29925,0.18757,39.28825,0.34857,42.37925,0.37429,40.46075,0.35295,38.372,0.3456,63.15375,0.43459,35.6565,0.14216499999999999,1.0,49887,0,0.0197847,0.1574551,0.0111309,0.0094812,0.0097048,0.2946136,20801.63,0.50788,16.386,0.34402,0.45629,0.0092911,1271.852,0.2,0.0,6.7842424,14.831427,-5.551585,0.0298478,0.0200453,3750.0,-0.1763683,0.4234694,0.1377693,0.3878955,0.0018438,0.003908834,0.0069557199,0.0045332,-1.2892047,0.2139435,0.0003997,0.1986945,0.112458,0.5880772,-0.0138683,1.0
67,4502,Hazard,KY,4355.0,42.679,0.2744,0.13058,50.77375,0.61007,18.01825,-0.17647,43.447,0.28552,41.9325,0.2645,46.332,0.25076,45.24475,0.25783,41.799,0.25876,39.8085,0.31686,43.819,0.24844,44.13,0.29572,43.42525,0.28177,42.71975,0.27471,67.76425,0.32461,36.85331,0.16386,1.0,117919,0,0.0136534,0.0957294,0.0139384,0.0110074,0.011205,0.3150889,20987.14,0.44467,9.422,0.35045,0.50149,0.0105937,1263.873,0.2,0.0,6.4418161,15.17781,-7.906068,0.0103452,0.0254412,1610.46,-0.0047999,0.4214072,0.0581184,0.0094766,0.0020636,0.0035448062,0.0061737294,0.0047342,-1.3478979,0.3514446,0.0004359,0.1917449,0.1016768,0.5893362,0.0093327,1.0
68,4601,Campbellsville,KY,2821.0,41.917,0.33136,0.0713542,40.91075,0.74623,24.417,-0.32976,43.8205,0.34178,39.98,0.32252,42.3895,0.26354,44.33825,0.31917,40.8105,0.3253,40.942,0.4552,42.77225,0.30101,44.02775,0.33991,42.9875,0.3329,41.904,0.3312,71.27275,0.38235,36.2825,0.18725999999999998,1.0,83451,0,0.0242777,0.0670128,0.0103294,0.0070215,0.0104181,0.4042495,26922.56,0.39437,8.527,0.3091,0.52428,0.0091337,1624.228,0.2,0.0,5.7455738,15.50204,0.8185197,0.0056358,0.0239662,9291.53,0.0488094,0.5706365,0.2315264,1.489107,0.0037987,0.0064229308,0.0064828462,0.0103398,-0.49900086,0.6365532,0.0010186,0.1906754,0.1102533,0.6051068,-0.0102926,1.0
69,4602,Somerset,KY,4229.0,39.055,0.39792,0.0629283,36.50675,0.88291,24.61975,-0.34113,40.84675,0.42319,37.39825,0.37845,40.0425,0.3573,41.1275,0.37882,38.6465,0.33054,36.12475,0.31087,39.908,0.38648,40.9055,0.35118,40.01475,0.37183,39.055,0.39792,66.922,0.44368,35.6285,0.20821,1.0,123981,0,0.0082593,0.0467136,0.0211837,0.0158969,0.0239841,0.3718999,24891.55,0.46607,11.635,0.34972,0.48002,0.0121247,1270.797,0.2,0.0,5.8143764,16.584803,-2.443403,0.0104389,0.0080658,1150.0,-0.0282029,0.5287137,0.2477431,1.471493,0.0034933,0.005823473,0.0062832208,0.0077722,-1.140307,0.5383406,0.0010383,0.1913426,0.1068513,0.6117109,-0.0037197,1.0
