Online Data Table VII,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Parent and Child Income Distributions by Commuting Zone,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notes: This table presents selected characteristics of the income distribution for parents and children by CZ. Column (3) reports the population (from the 2000 census). Columns 5-11 report statistics of the child family income distribution (measured as the 2011-12 mean) for our core sample (1980-82 birth cohorts). Columns 12-18 report statistics of the parent family income distribution (1996-2000 mean) for parents of children in the core sample.  All values are in 2012 dollars and are rounded to the nearest $100.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CZ,CZ Name,State,Children in 1980-82 Cohorts,Mean Child Income,Median Child Income,Child Income P10,Child Income P25,Child Income P75,Child Income P90,Child Income P99,Mean Parent Income,Median Parent Income,Parent Income P10,Parent Income P25,Parent Income P75,Parent Income P90,Parent Income P99
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18)
,,,,,,,,,,,,,,,,,
3201,Jena,LA,1189,55300,41800,3100,15300,80100,118700,218300,49200,39400,12100,19800,66300,98400,183600
3202,Natchez,MS,3351,37700,23200,1800,10700,51300,90100,200900,49900,30000,10200,16100,61500,98400,314000
3203,Vicksburg,MS,3946,34600,20500,1500,10200,44200,80500,164000,52700,31800,10800,18200,65200,108500,264900
3300,New Orleans,LA,57774,42400,26900,1200,11500,57100,97600,210300,70000,43400,11400,20600,85000,132900,479800
3400,Houma,LA,12869,45800,36100,2300,13800,73900,107700,202200,65200,48200,12200,23000,79900,111500,339000
3500,Baton Rouge,LA,34182,44600,29600,2500,12700,64000,102500,206500,70300,49500,12400,22800,91500,131300,388800
3600,Alexandria,LA,8393,40100,27600,1200,11100,58100,94200,181800,57600,36200,11000,18700,70800,106900,365000
3700,Lake Charles,LA,14710,45800,33400,2300,13700,67300,101700,191300,65500,51600,13000,24800,85300,117500,315800
3800,Lafayette,LA,24639,47800,33300,2500,13500,69700,106300,208300,67300,44900,11700,21200,80000,120800,416900
3901,Monroe,LA,11387,37700,23700,1000,10400,52400,90300,186500,56600,34100,10400,17400,70200,106900,328200
3902,Lake Providence,LA,1045,38500,21200,900,9900,51600,92700,177200,37700,24600,8100,14300,47200,80700,202000
4001,Magnolia,AR,1451,37000,25900,200,11100,56300,91000,164100,51900,38700,10300,19400,71400,104000,215300
4002,Shreveport,LA,21664,41200,25700,1200,10700,56000,95000,215900,59900,38800,11700,19700,74800,113500,368900
4003,Ruston,LA,3003,46400,29500,1600,11900,63400,98600,226200,60500,41000,12300,20400,77400,113900,372600
4004,Many,LA,982,50600,36900,1400,12800,75100,116200,215600,50700,37800,10900,19900,64200,97600,223100
4101,Crossett,AR,1108,39100,28200,1300,11600,54700,92600,144800,58100,45800,11000,22500,79400,109600,240900
4102,Pine Bluff,AR,7303,34700,23600,800,10300,46900,81900,172700,49700,33900,11200,19400,66200,99400,239500
4103,El Dorado,AR,3942,39600,26100,1100,10200,53000,88700,184900,54100,39900,11400,21100,71200,100400,279400
4200,Little Rock,AR,24072,43000,30200,1800,12600,59300,92500,202400,74600,53500,14900,27300,89000,133300,438700
4301,Stuttgart,AR,1771,38600,27500,1600,12200,50600,83400,192300,48800,35100,10900,18900,64100,93300,207000
4302,Searcy,AR,3694,40000,30300,1300,12000,59100,89000,177000,53700,40900,11600,21500,69300,99300,285100
4401,London,KY,4974,36500,25800,100,10100,52300,79200,169300,51600,36100,8800,17600,64600,94700,291400
4402,Richmond,KY,3623,37900,27800,400,10200,54600,82000,153900,54500,43200,11000,21700,73400,104200,255600
4501,West Liberty,KY,1613,30500,23400,0,6600,50400,76500,126900,43100,30000,6700,13700,54300,78100,169800
4502,Hazard,KY,4355,39900,30100,100,10000,61400,90400,152500,50300,39400,8600,17700,67600,95700,214700
4601,Campbellsville,KY,2821,39000,30000,1900,12500,54300,81600,173500,47100,37800,11200,20200,58800,84700,226100
4602,Somerset,KY,4229,35700,26500,0,10000,52600,78600,169500,48100,34100,9900,18300,59000,88800,277900
4701,Greenwood,MS,3909,32400,19700,700,9400,42100,77600,176000,46700,27800,10300,17100,55000,91800,351500
4702,Clarksdale,MS,6240,30300,18700,400,9000,37800,73400,172300,44800,27900,10200,16700,52100,90100,251100
4800,Greenville,MS,7754,27800,17100,0,7800,34800,66000,143600,39400,24500,8600,15000,42200,84900,233100
4901,Jackson,TN,7572,37600,27200,2100,12100,52500,81700,166300,62900,44300,13600,24400,77200,109300,370200
4902,Dyersburg,TN,3665,34900,24000,900,10700,49300,80900,163300,50900,37200,11900,22000,65900,94800,215900
4903,Lexington,TN,1627,38400,31600,2600,14400,55900,80600,147200,52400,43500,15700,26400,68900,92000,177000
5000,Tupelo,MS,8753,36600,26800,2800,12500,52100,82000,161800,57400,40500,13400,22900,71400,102500,328400
5100,Corinth,MS,4473,38000,27400,1500,11900,55400,84500,172000,55900,42500,13400,22900,70400,97500,231600
5201,New Albany,MS,2128,37700,28300,4100,13500,53400,80000,170500,52700,40900,14000,23600,67700,91600,257600
5202,Memphis,TN,46897,37100,23100,1400,10900,48500,85300,194200,77600,45500,13300,23900,87800,139100,528700
5300,West Memphis,AR,6390,31200,20100,400,8900,40000,73400,167900,42400,28100,9800,17000,53700,88800,207200
5401,Bowling Green,KY,5908,44600,32400,2400,13200,59900,88200,177000,68400,51800,14700,26800,82000,117000,392200
5402,Glasgow,KY,3250,39100,30700,4400,14400,56200,82100,158700,52100,39700,11600,20800,64100,92400,255000
5500,Columbia,TN,6587,39700,31700,3000,13700,56900,84700,158700,70400,60100,16500,30400,92000,122300,290600
5600,Nashville,TN,42917,43700,32400,2300,13300,61300,92800,200900,96900,63500,17100,32600,101000,156300,630800
5700,Tullahoma,TN,4829,41600,30600,2300,13000,58600,87300,175600,65300,51800,14900,26800,82000,112700,346600
5800,Dickson,TN,5373,39200,29400,2700,12900,57000,84100,165900,61000,46900,13700,25400,76000,105200,271100
5900,Clarksville,TN,8506,38900,29400,1800,12700,54800,84100,164300,60400,49200,15000,27900,74700,103900,262800
6000,Huntsville,AL,18969,44600,31500,2600,12900,62700,94900,194200,78300,61300,15900,29800,100300,140900,395500
6100,Gadsden,AL,11274,41200,31000,2800,13000,58900,87900,178200,58100,44700,12700,22900,72900,103800,312200
6200,Florence,AL,8496,43500,31700,3600,13800,61400,92800,178600,63300,48100,13800,24500,78800,112500,314900
6301,McMinnville,TN,3101,38200,28800,1900,12300,52500,80200,166000,55400,43100,12500,22300,70100,94900,320900
6302,Cookeville,TN,3328,39300,30300,2300,13400,56600,83800,165700,60400,44300,14000,24500,71300,104900,368500
6401,Chattanooga,TN,17775,40000,29700,1300,11900,57000,87600,176100,74700,52400,14200,26700,87200,131100,437400
6402,Crossville,TN,3331,36800,28600,1200,11600,52300,79200,148600,49600,36900,11700,20600,61500,89100,240600
6501,Ellijay,GA,1295,36800,26900,1900,13300,52100,77800,151200,49400,38300,11200,20400,64700,92900,269000
6502,Cleveland,TN,7045,39000,29600,1600,12300,56100,84200,168500,61600,48200,14000,26000,78000,110300,302800
6600,Rome,GA,14982,37200,27300,1200,11800,51600,81000,169000,66200,46000,13500,25300,76600,111300,341200
6700,Tampa,FL,64012,40400,28100,1700,12400,54600,89400,199400,69700,45800,13000,24300,78700,122200,449900
6800,Lakeland,FL,19813,38600,26800,2900,12700,51000,82300,168700,56400,40200,11900,21500,68200,100500,325700
6900,Sarasota,FL,18433,41600,28900,1900,12600,55900,89400,209100,80100,51100,15300,27400,85700,131800,573400
7000,Miami,FL,108435,43400,28800,3700,14000,54700,93200,222900,77900,42500,12200,21900,84100,141500,581300
7100,Port St. Lucie,FL,40539,43200,28700,2000,12600,56200,92700,217400,92500,51700,14400,26200,93500,152900,781600
7200,Cape Coral,FL,15243,41200,28700,2200,12600,54900,89400,205800,80400,48700,14300,25400,84600,136700,616800
7300,Palm Bay,FL,18277,42000,29000,1600,12400,56500,91200,202500,71300,52400,14200,27600,83800,119100,387500
7400,Orlando,FL,53941,40000,27900,1900,12600,53600,87700,192500,68700,45900,13200,24100,78800,123100,436800
7500,Deltona,FL,16478,37200,26100,1600,11500,50700,82500,179600,55800,40600,11700,21700,67700,99000,322500
7600,Jacksonville,FL,43299,40000,28000,1400,11900,54300,86900,181800,70300,50900,14400,27100,81800,120000,413800
7700,Lake City,FL,5557,35400,25600,1400,11500,48900,78600,152200,47400,35600,10700,19700,61000,88500,234400
7800,Ocala,FL,10709,36600,25700,1100,11000,49600,81100,172800,52700,37000,10800,20000,62600,95000,330400
7900,Gainesville,FL,10384,39300,26900,1200,11400,53200,86400,199800,60600,41100,11700,22300,72500,111900,343300
8000,Sumter,SC,8987,33400,23700,1200,11100,45800,76000,150300,51500,36500,12100,20100,67400,99500,261200
8100,Columbia,SC,26624,38200,26400,1500,11600,51700,86300,184800,69800,47700,13700,23900,86600,130200,407300
8201,Barnwell,SC,3251,31400,20600,100,9200,40300,70600,135800,44400,30400,10900,17700,60700,92100,170900
8202,Charleston,SC,21271,38700,26800,1700,12100,51300,83400,177700,69900,46200,12600,22700,81900,121100,384000
8300,Greenville,SC,31074,39800,29100,2200,12800,55100,85900,178700,74500,53300,15500,27500,89500,132600,446800
8401,Aiken,GA,21868,38500,25700,1900,12100,52300,86000,180400,67000,48500,12800,23200,88200,128400,351300
