Online Data Table IV,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Intergenerational Mobility Statistics by Metropolitan Statistical Area,,,,,
,,,,,
Notes: This table presents mobility estimates by Metropolitan Statistical Area (CBSA codes) for the core sample. Number of children is the number of children in the MSA used to estimate the mobility statistics. Relative mobility (RM) is the slope from OLS regression of child rank on parent rank within each MSA in core sample using baseline income definitions. Relative mobility can be multiplied by the difference in parent ranks (on a 0-100 scale) to obtain the expected difference in child's rank (on a 0-100 scale).   Absolute upward mobility (AM) is the expected rank of children whose parents are at the 25th percentile of the national income distribution.  Expected ranks at other percentiles P between 0 and 100 can be computed as AM+(P-25)*RM. ,,,,,
,,,,,
,,,,,
,,,No. of Children in Core Sample,Relative Mobility Rank-Rank Slope,Absolute Upward
MSA ID,MSA Name,State,,,Mobility
-1,-2,-3,(4),(5),(6)
18880,Crestview-Fort Walton Beach-Destin, FL,7585,0.31883,40.55075
19060,Cumberland, MD-WV,3662,0.36921,43.42325
19100,Dallas-Fort Worth-Arlington, TX,178655,0.33887,40.88775
19140,Dalton, GA,4331,0.36825,37.37125
19180,Danville, IL,3380,0.39856,40.762
19300,Daphne-Fairhope-Foley, AL,5061,0.3361,39.6475
19340,Davenport-Moline-Rock Island, IA-IL,15733,0.36149,43.47225
19380,Dayton, OH,31002,0.40612,37.159
19460,Decatur, AL,5716,0.35363,39.23175
19500,Decatur, IL,4635,0.43127,39.52975
19660,Deltona-Daytona Beach-Ormond Beach, FL,13975,0.29632,39.661
19740,Denver-Aurora-Lakewood, CO,70521,0.30514,41.7265
19780,Des Moines-West Des Moines, IA,17445,0.35956,44.35
19820,Detroit-Warren-Dearborn, MI,157018,0.36272,37.308
20020,Dothan, AL,5275,0.41096,38.121
20100,Dover, DE,4738,0.36971,39.66275
20220,Dubuque, IA,3900,0.27633,52.68125
20260,Duluth, MN-WI,11221,0.33742,44.8485
20500,Durham-Chapel Hill, NC,11705,0.37377,35.18625
20700,East Stroudsburg, PA,4949,0.27193,44.35825
20740,Eau Claire, WI,5638,0.29555,47.26875
20940,El Centro, CA,6048,0.22022,44.0465
21060,Elizabethtown-Fort Knox, KY,5675,0.33353,41.76525
21140,Elkhart-Goshen, IN,7281,0.34088,41.038
21300,Elmira, NY,3501,0.40878,40.9545
21340,El Paso, TX,28544,0.21179,44.27175
21500,Erie, PA,11095,0.37633,42.23525
21660,Eugene, OR,11462,0.29906,39.7105
21780,Evansville, IN-KY,11646,0.41472,40.511
21820,Fairbanks, AK,3491,0.26343,45.03675
22020,Fargo, ND-MN,6280,0.3012,49.279
22140,Farmington, NM,6156,0.31895,40.29575
22180,Fayetteville, NC,12405,0.34642,35.6075
22220,Fayetteville-Springdale-Rogers, AR-MO,11770,0.31281,43.22025
22380,Flagstaff, AZ,5013,0.27817,39.52625
22420,Flint, MI,18479,0.3453,35.3605
22500,Florence, SC,8228,0.40707,35.86975
22520,Florence-Muscle Shoals, AL,5168,0.37156,40.788
22540,Fond du Lac, WI,3847,0.33701,48.30825
22660,Fort Collins, CO,8610,0.24585,45.38525
22900,Fort Smith, AR-OK,9841,0.33323,42.12775
23060,Fort Wayne, IN,15738,0.39263,39.59475
23420,Fresno, CA,28524,0.30771,40.75475
23460,Gadsden, AL,3580,0.39522,39.3355
23540,Gainesville, FL,7436,0.36071,38.39675
23580,Gainesville, GA,4328,0.33402,39.1175
23900,Gettysburg, PA,3313,0.27493,48.59325
24020,Glens Falls, NY,4689,0.3081,43.3345
24140,Goldsboro, NC,4192,0.38283,37.56675
24220,Grand Forks, ND-MN,4177,0.27272,50.297
24260,Grand Island, NE,3384,0.28833,50.26825
24300,Grand Junction, CO,4515,0.26145,46.59425
24340,Grand Rapids-Wyoming, MI,37794,0.37834,40.3955
24420,Grants Pass, OR,2781,0.31181,40.68025
24500,Great Falls, MT,3292,0.27143,45.79075
24540,Greeley, CO,6270,0.31135,44.29475
24580,Green Bay, WI,10612,0.32257,46.69825
24660,Greensboro-High Point, NC,20689,0.38845,36.32725
24780,Greenville, NC,4297,0.42655,35.17575
24860,Greenville-Anderson-Mauldin, SC,25077,0.37765,37.14625
25060,Gulfport-Biloxi-Pascagoula, MS,13861,0.34274,38.4405
25180,Hagerstown-Martinsburg, MD-WV,7122,0.37354,41.5625
25220,Hammond, LA,4608,0.40557,39.17125
25260,Hanford-Corcoran, CA,4366,0.26939,42.15275
25420,Harrisburg-Carlisle, PA,18366,0.3734,42.719
25500,Harrisonburg, VA,3381,0.31787,43.75775
25540,Hartford-West Hartford-East Hartford, CT,35753,0.37344,42.286
25620,Hattiesburg, MS,5228,0.37493,39.68025
25860,Hickory-Lenoir-Morganton, NC,11300,0.41232,35.829
25940,Hilton Head Island-Bluffton-Beaufort, SC,4164,0.34504,36.117
25980,Hinesville, GA,2568,0.27005,37.48225
26140,Homosassa Springs, FL,2966,0.28715,40.79075
26300,Hot Springs, AR,2785,0.36605,40.17325
26380,Houma-Thibodaux, LA,9069,0.39199,44.98875
26420,Houston-The Woodlands-Sugar Land, TX,174965,0.32374,42.8995
26580,Huntington-Ashland, WV-KY-OH,13303,0.35202,40.3675
26620,Huntsville, AL,12095,0.37219,37.50075
26820,Idaho Falls, ID,5941,0.23278,46.6865
26900,Indianapolis-Carmel-Anderson, IN,61198,0.3954,37.243
26980,Iowa City, IA,3874,0.2968,46.473
27060,Ithaca, NY,2701,0.29958,43.2655
27100,Jackson, MI,5978,0.35264,39.024
27140,Jackson, MS,22264,0.4211,36.0965
27180,Jackson, TN,4498,0.40131,37.00675
27260,Jacksonville, FL,41242,0.36217,37.48225
27340,Jacksonville, NC,4745,0.33682,39.0205
27500,Janesville-Beloit, WI,5957,0.33804,41.224
27620,Jefferson City, MO,5417,0.32442,44.5525
27740,Johnson City, TN,5594,0.38166,37.4455
27780,Johnstown, PA,5647,0.36065,48.73425
27860,Jonesboro, AR,3786,0.37041,40.07625
27900,Joplin, MO,6171,0.32978,42.6385
27980,Kahului-Wailuku-Lahaina, HI,4248,0.23275,42.15075
28020,Kalamazoo-Portage, MI,11568,0.38591,37.96775
28100,Kankakee, IL,4203,0.39782,40.8645
28140,Kansas City, MO-KS,69789,0.36379,40.16775
28420,Kennewick-Richland, WA,8349,0.28607,44.70975
28660,Killeen-Temple, TX,12453,0.33525,40.48625
28700,Kingsport-Bristol-Bristol, TN-VA,9733,0.37559,38.73275
28740,Kingston, NY,5738,0.31025,42.63525
28940,Knoxville, TN,24505,0.37231,37.91375
29020,Kokomo, IN,3434,0.32788,37.267
29100,La Crosse-Onalaska, WI-MN,4611,0.30542,47.0925
29180,Lafayette, LA,18996,0.37895,42.96975
29200,Lafayette-West Lafayette, IN,5550,0.31146,44.0905
29340,Lake Charles, LA,8846,0.36115,41.47075
29420,Lake Havasu City-Kingman, AZ,4485,0.29286,40.4155
29460,Lakeland-Winter Haven, FL,16503,0.34101,39.33825
29540,Lancaster, PA,17242,0.34791,44.68775
29620,Lansing-East Lansing, MI,17160,0.35017,39.50525
29700,Laredo, TX,7817,0.22198,44.6555
29740,Las Cruces, NM,6542,0.25942,41.2995
29820,Las Vegas-Henderson-Paradise, NV,36130,0.25688,39.873
29940,Lawrence, KS,2802,0.3236,40.643
30020,Lawton, OK,4873,0.33066,42.1765
30140,Lebanon, PA,4493,0.32653,46.66625
30300,Lewiston, ID-WA,2278,0.31471,42.35175
30340,Lewiston-Auburn, ME,3908,0.30905,42.93425
30460,Lexington-Fayette, KY,13104,0.38886,36.1245
30620,Lima, OH,4401,0.41732,39.278
30700,Lincoln, NE,9161,0.35147,43.45275
30780,Little Rock-North Little Rock-Conway, AR,23345,0.3938,37.806
30860,Logan, UT-ID,4946,0.16984,51.19
30980,Longview, TX,8753,0.35116,43.93
31020,Longview, WA,3939,0.3247,40.4295
31080,Los Angeles-Long Beach-Anaheim, CA,333602,0.22541,43.80925
31140,Louisville/Jefferson County, KY-IN,41593,0.38796,37.806
31180,Lubbock, TX,10052,0.38921,40.51425
31340,Lynchburg, VA,7681,0.3969,39.2425
31420,Macon, GA,8653,0.39092,34.375
31460,Madera, CA,4370,0.26389,41.72725
31540,Madison, WI,17794,0.31177,44.54025
31700,Manchester-Nashua, NH,13561,0.31817,44.16825
31740,Manhattan, KS,2433,0.30725,46.49725
31860,Mankato-North Mankato, MN,3278,0.25814,49.5615
31900,Mansfield, OH,5141,0.38341,39.42625
32580,McAllen-Edinburg-Mission, TX,21599,0.22948,44.081
32780,Medford, OR,6630,0.25709,40.95525
