CZ,CZ Name,State,Children in 1980-85 Cohorts,P(Child q1 |Par q1),P(Child q2 |Par q1),P(Child q3 |Par q1),P(Child q4 |Par q1),P(Child q5 |Par q1),P(Child q1 |Par q2),P(Child q2 |Par q2),P(Child q3 |Par q2),P(Child q4 |Par q2),P(Child q5 |Par q2),P(Child q1 |Par q3),P(Child q2 |Par q3),P(Child q3 |Par q3),P(Child q4 |Par q3),P(Child q5 |Par q3),P(Child q1 |Par q4),P(Child q2 |Par q4),P(Child q3 |Par q4),P(Child q4 |Par q4),P(Child q5 |Par q4),P(Child q1 |Par q5),P(Child q2 |Par q5),P(Child q3 |Par q5),P(Child q4 |Par q5),P(Child q5 |Par q5),P(Par q1),P(Par q2),P(Par q3),P(Par q4),P(Par q5),P(Child Q1),P(Child Q2),P(Child Q3),P(Child Q4),P(Child Q5)
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8401,Aiken,GA,44471,0.3350266,0.3680459,0.1717329,0.0841458,0.0410488,0.2659895,0.3181818,0.2017297,0.1349557,0.0791432,0.1997654,0.2559291,0.2241334,0.174355,0.145817,0.1499356,0.202574,0.209009,0.224453,0.2140283,0.1269264,0.1420471,0.1721431,0.2398953,0.3189881,0.2744485,0.2236064,0.1725619,0.1747206,0.1546626,0.231724,0.273684,0.194059,0.1596771,0.1408558
8402,Washington,GA,2984,0.3484848,0.3754209,0.1776094,0.0673401,0.0311448,0.2872467,0.3265793,0.2109654,0.11323,0.0619785,0.2045977,0.2505747,0.1816092,0.1885058,0.1747126,0.1509434,0.1603774,0.2044025,0.2232704,0.2610063,0.122549,0.122549,0.1666667,0.2598039,0.3284314,0.3981233,0.2811662,0.1457775,0.1065684,0.0683646,0.2737936,0.3032842,0.1896783,0.127681,0.105563
8501,Fitzgerald,GA,2434,0.3232323,0.4006734,0.1672278,0.0729517,0.0359147,0.2329957,0.3241679,0.2214182,0.1432706,0.0781476,0.1607143,0.2678571,0.1815476,0.2083333,0.1815476,0.1521036,0.1941748,0.1941748,0.2880259,0.171521,0.115942,0.0821256,0.2028985,0.2753623,0.3236715,0.3660641,0.2838948,0.1380444,0.1269515,0.0850452,0.2358258,0.3073131,0.1910436,0.1561216,0.109696
8502,Cordele,GA,4125,0.369936,0.380064,0.1449893,0.0719616,0.033049,0.2753927,0.3434555,0.2136126,0.1005236,0.0670157,0.2017544,0.2315789,0.2263158,0.2105263,0.1298246,0.1325843,0.1887641,0.1955056,0.2314607,0.2516854,0.09319,0.1039427,0.1899642,0.2508961,0.3620072,0.4547879,0.2315152,0.1381818,0.1078788,0.0676364,0.2804849,0.3117576,0.1806061,0.1270303,0.1001212
8503,Valdosta,GA,19167,0.3577116,0.3708346,0.1624889,0.0771159,0.031849,0.2574008,0.3092589,0.2191896,0.1356288,0.0785219,0.1862831,0.2153444,0.237431,0.2176693,0.1432723,0.1511487,0.1805723,0.2192664,0.2321644,0.216848,0.1176471,0.1305882,0.1835294,0.2388235,0.3294118,0.3538373,0.2485,0.1795273,0.1294412,0.0886941,0.2539782,0.281682,0.1992487,0.1513017,0.1137893
8601,Waycross,GA,9358,0.3362459,0.3377523,0.1816812,0.0997288,0.0445917,0.2742728,0.2916509,0.2081602,0.1405365,0.0853797,0.1880819,0.2327747,0.2141527,0.2116698,0.1533209,0.1292392,0.1842346,0.192484,0.2538955,0.2401467,0.1289855,0.1275362,0.184058,0.2318841,0.3275362,0.3546698,0.2828596,0.1721522,0.1165847,0.0737337,0.2537935,0.2732421,0.1961958,0.1582603,0.1185082
8602,Brunswick,GA,7037,0.3461191,0.3646209,0.157491,0.0843863,0.0473827,0.2539164,0.2983029,0.2225849,0.1403394,0.0848564,0.2296651,0.238437,0.2129187,0.1754386,0.1435407,0.1797445,0.1843066,0.2344891,0.1934307,0.2080292,0.1469649,0.1618743,0.1831736,0.2332268,0.2747604,0.3149069,0.2177064,0.1782009,0.1557482,0.1334375,0.2528066,0.2725593,0.1969589,0.1496376,0.1280375
8701,Hinesville,GA,10221,0.3472222,0.3349868,0.1689815,0.0998677,0.0489418,0.259049,0.2806955,0.2324343,0.1465578,0.0812633,0.2108086,0.2330858,0.2384488,0.189769,0.1278878,0.1454027,0.1838917,0.2280827,0.2352103,0.2074127,0.1177536,0.1612319,0.1847826,0.2300725,0.3061594,0.2958615,0.2757069,0.2371588,0.1372664,0.0540065,0.2504647,0.2657274,0.2119166,0.1596713,0.1122199
8702,Statesboro,GA,8272,0.3475309,0.3808642,0.1527778,0.0799383,0.0388889,0.2806663,0.3190308,0.180212,0.138314,0.0817769,0.2002935,0.2325752,0.217168,0.2017608,0.1482025,0.1325052,0.184265,0.2122153,0.2318841,0.2391304,0.1066482,0.1509695,0.1786704,0.2202216,0.3434903,0.3916828,0.2394826,0.1647727,0.1167795,0.0872824,0.2611219,0.2985977,0.1791586,0.1439797,0.1171422
8800,Savannah,GA,31837,0.3316543,0.3730692,0.172711,0.0815984,0.0409671,0.2573816,0.3169917,0.2150418,0.1311978,0.0793872,0.2002388,0.258059,0.2311103,0.1731196,0.1374723,0.159948,0.1917147,0.2234813,0.2218094,0.2030466,0.1393791,0.158365,0.1652893,0.2280545,0.3089122,0.2806169,0.2255238,0.1841568,0.16908,0.1406225,0.2346327,0.2783868,0.2005528,0.1539404,0.1324874
8900,Macon,GA,31614,0.3572406,0.381984,0.1493729,0.0787913,0.0326112,0.2779387,0.3181888,0.1861564,0.1378259,0.0798902,0.2052485,0.2344456,0.2205422,0.1986444,0.1411192,0.1447771,0.2009187,0.2085743,0.2329023,0.2128275,0.1298087,0.1369009,0.1852568,0.2529551,0.2950785,0.2774087,0.2074714,0.182008,0.1859303,0.1471816,0.2401468,0.2721579,0.1862466,0.1671411,0.1343076
9001,Vidalia,GA,8554,0.3361548,0.3328295,0.1865175,0.0964329,0.0480653,0.2440945,0.2973599,0.2181566,0.1491431,0.0912459,0.1567112,0.2192551,0.2178496,0.2255798,0.1806044,0.1366834,0.1668342,0.1829146,0.2381909,0.2753769,0.122571,0.1210762,0.1793722,0.2107623,0.3662182,0.3867197,0.2523966,0.1663549,0.1163199,0.078209,0.2431611,0.2691139,0.1987374,0.1566519,0.1323358
9002,Milledgeville,GA,6218,0.3613281,0.3740234,0.1625977,0.0698242,0.0322266,0.2850575,0.3695402,0.195977,0.0954023,0.054023,0.2179487,0.2662722,0.2287968,0.1469428,0.1400394,0.1864198,0.2320988,0.1962963,0.1987654,0.1864198,0.1468647,0.1369637,0.1617162,0.2673267,0.2871287,0.3293664,0.2798328,0.1630749,0.130267,0.097459,0.2729173,0.3136057,0.1870376,0.1256031,0.1008363
9003,Dublin,GA,6363,0.3729456,0.3581964,0.1622419,0.0745891,0.032027,0.3052561,0.3072776,0.1994609,0.1212938,0.0667116,0.1927593,0.2309198,0.2172211,0.1917808,0.167319,0.1414027,0.1719457,0.1979638,0.2319005,0.2567873,0.1233333,0.1183333,0.17,0.25,0.3383333,0.3729373,0.2332233,0.1606161,0.1389282,0.0942951,0.272513,0.2773849,0.1854471,0.1427,0.1219551
9100,Atlanta,GA,206189,0.3257974,0.3637362,0.1771086,0.088028,0.0453297,0.2716618,0.3240708,0.2032561,0.1271945,0.0738168,0.2163649,0.2551268,0.2210748,0.1735951,0.1338385,0.169878,0.2066469,0.2163379,0.212319,0.1948182,0.1303366,0.1442268,0.1791194,0.2279613,0.3183559,0.2119512,0.2052534,0.1657848,0.1701546,0.246856,0.2217626,0.2566723,0.1969358,0.1659448,0.1586845
9200,Griffin,GA,10568,0.3305627,0.3558184,0.17711,0.0962276,0.0402813,0.2634093,0.3368846,0.2072006,0.1204996,0.0720059,0.1916706,0.2446758,0.2394699,0.185045,0.1391387,0.1458583,0.1920768,0.2088836,0.2196879,0.2334934,0.1064963,0.1320554,0.1746539,0.256656,0.3301384,0.2959879,0.25757,0.1999432,0.1576457,0.0888531,0.2364686,0.2830242,0.2021196,0.1539553,0.1244323
9301,Winder,GA,12765,0.384883,0.3368121,0.1660342,0.07432,0.0379507,0.2966372,0.3065487,0.1950442,0.1228319,0.0789381,0.2226277,0.2177616,0.2274939,0.1922141,0.1399027,0.152105,0.1874151,0.2055229,0.2444545,0.2105025,0.1298146,0.1583452,0.1878269,0.2215882,0.3024251,0.2477086,0.2213083,0.1931845,0.1730513,0.1647474,0.2517039,0.2518606,0.1947513,0.1615354,0.1401488
9302,Toccoa,GA,6502,0.3602321,0.3037975,0.1835443,0.1107595,0.0416667,0.2539168,0.280389,0.2171799,0.1491086,0.0994057,0.185633,0.2147937,0.2261735,0.2197724,0.1536273,0.1321586,0.1552863,0.2103524,0.2389868,0.2632159,0.1156463,0.122449,0.1746032,0.2585034,0.3287982,0.2916026,0.2846816,0.2162412,0.1396493,0.0678253,0.2437712,0.2448477,0.2054752,0.1731775,0.1327284
9400,Gainesville,GA,17696,0.3189122,0.3011125,0.1861558,0.1241038,0.0697157,0.2408234,0.2566964,0.2152778,0.1783234,0.108879,0.1802597,0.214026,0.2184416,0.2277922,0.1594805,0.1418879,0.1784661,0.2011799,0.2563422,0.2221239,0.1214796,0.1416562,0.184111,0.2421185,0.3106347,0.2285827,0.2278481,0.2175633,0.1915687,0.1344372,0.2104996,0.2271135,0.2024186,0.2002147,0.1597536
9500,Talladega,AL,11205,0.3339355,0.3292903,0.1950968,0.0967742,0.0449032,0.2685897,0.301282,0.2080128,0.1371795,0.0849359,0.1729674,0.2314863,0.221129,0.2061108,0.1683066,0.1210526,0.1657895,0.1875,0.2440789,0.281579,0.1054018,0.1027668,0.1607378,0.2490119,0.3820817,0.3458278,0.2784471,0.1723338,0.1356537,0.0677376,0.2436412,0.2671129,0.1998215,0.157162,0.1322624
9600,LaGrange,GA,36741,0.3374366,0.3419882,0.1717182,0.0965139,0.052343,0.2462215,0.2972028,0.2094518,0.1553124,0.0918114,0.1831332,0.2364717,0.2181325,0.2071549,0.1551078,0.1478398,0.1819324,0.2003142,0.2270228,0.2428908,0.1239024,0.1329268,0.1743902,0.2417073,0.3270732,0.2631121,0.2413108,0.2107455,0.1732397,0.111592,0.2262323,0.2578863,0.1958575,0.1728314,0.1471925
9701,Columbus,GA,25052,0.3049617,0.394245,0.186231,0.079602,0.0349603,0.2546833,0.3403212,0.2216771,0.1235504,0.0597681,0.1892557,0.264917,0.2362108,0.1896658,0.1199508,0.1501976,0.2125918,0.230943,0.2185206,0.187747,0.1238866,0.137247,0.1817814,0.2376518,0.3194332,0.2968625,0.2684816,0.1946751,0.1413859,0.0985949,0.2292033,0.3035686,0.2113604,0.1480521,0.1078157
9702,Americus,GA,4686,0.342982,0.3965046,0.1518296,0.0742764,0.0344074,0.3019018,0.3415214,0.18542,0.1196513,0.0515055,0.20317,0.2766571,0.2060519,0.1930836,0.1210375,0.1387387,0.1891892,0.2018018,0.236036,0.2342342,0.1075581,0.127907,0.2122093,0.2383721,0.3139535,0.3907384,0.2693129,0.1481007,0.1184379,0.0734102,0.2697397,0.3196756,0.1792574,0.1352966,0.0960307
9800,Auburn,AL,9471,0.3373253,0.3812375,0.1646707,0.0825017,0.0342648,0.2440211,0.3765707,0.2026753,0.1122821,0.0644507,0.191186,0.2469216,0.2171095,0.1801685,0.1646144,0.1610233,0.2024078,0.1888638,0.2197141,0.227991,0.1225577,0.1447602,0.1669627,0.2202487,0.3454707,0.3173899,0.2604794,0.1629184,0.1403231,0.1188892,0.2389399,0.3049308,0.1867807,0.1418013,0.1275472
9900,Tallahassee,FL,30550,0.3479237,0.3373737,0.1741863,0.0934905,0.0470258,0.2501909,0.295495,0.2238483,0.1476203,0.0828455,0.1730504,0.2244651,0.2348171,0.2127329,0.1549344,0.1390642,0.1734494,0.2309031,0.2322089,0.2243743,0.1271012,0.1545267,0.1878502,0.2297257,0.3007962,0.291653,0.2572177,0.1897218,0.1504092,0.1109984,0.2336825,0.2602291,0.2085106,0.1660229,0.1315548
10000,Panama City,FL,12943,0.3535769,0.3046835,0.1724138,0.1111683,0.0581575,0.2470073,0.2408759,0.2321168,0.1792701,0.1007299,0.1925699,0.2027948,0.2293797,0.2062031,0.1690525,0.1476355,0.1851211,0.2145329,0.2358708,0.2168397,0.1400415,0.1452282,0.1784232,0.2365145,0.2997925,0.3002395,0.2646218,0.2266862,0.133972,0.0744804,0.2453836,0.2368075,0.2072163,0.1767751,0.1338175
10101,Bainbridge,GA,3673,0.3346667,0.3566667,0.1766667,0.0926667,0.0393333,0.281,0.306,0.206,0.132,0.075,0.1793372,0.2475633,0.208577,0.214425,0.1500975,0.1425,0.2225,0.2,0.23,0.205,0.1153846,0.1538462,0.1692308,0.2230769,0.3384615,0.4083855,0.272257,0.1396679,0.1089028,0.0707868,0.2619112,0.2986659,0.1911244,0.1445685,0.1037299
10102,Thomasville,GA,5945,0.3383816,0.3717006,0.1678927,0.0891389,0.0328862,0.2648221,0.2944664,0.2206851,0.1482213,0.071805,0.1987041,0.2354212,0.2149028,0.2159827,0.1349892,0.1157143,0.1728571,0.2128571,0.2685714,0.23,0.1142857,0.1142857,0.1897959,0.244898,0.3367347,0.38873,0.2553406,0.1557611,0.117746,0.0824222,0.2531539,0.2861228,0.1957948,0.1579479,0.1069807
10200,Albany,GA,15812,0.3683235,0.3782645,0.1577085,0.0680708,0.0276327,0.2864023,0.3337111,0.1977337,0.1161473,0.0660057,0.2186978,0.2600167,0.2053422,0.1886477,0.1272955,0.1764184,0.1945922,0.2096631,0.212766,0.2065603,0.1262537,0.1646018,0.1976401,0.2265487,0.2849557,0.3753478,0.2232482,0.1515305,0.1426764,0.1071971,0.2740324,0.3012902,0.1855553,0.1347078,0.1044144
10301,Eufaula,GA,5195,0.3580968,0.384808,0.1707012,0.0634391,0.0229549,0.2967694,0.3155522,0.2066116,0.121713,0.0593539,0.1724683,0.2594937,0.2294304,0.1946203,0.1439873,0.1377119,0.1377119,0.2118644,0.2648305,0.2478814,0.1373626,0.1043956,0.1428571,0.217033,0.3983516,0.4612127,0.2562079,0.1216554,0.0908566,0.0700674,0.2843118,0.3097209,0.1888354,0.1233879,0.093744
10302,Dothan,AL,18262,0.3282208,0.3356189,0.1753879,0.1024901,0.0582822,0.2496389,0.2705826,0.2185845,0.162494,0.0987,0.1622435,0.2169631,0.2207934,0.2153215,0.1846785,0.1202982,0.1677397,0.1962047,0.2500847,0.2656727,0.0969388,0.1158163,0.1714286,0.2545918,0.3612245,0.3034717,0.2274669,0.2001424,0.1615924,0.1073267,0.2187055,0.2463586,0.1972402,0.1788961,0.1587997
10400,Meridian,MS,13404,0.3715278,0.3451797,0.1556372,0.0808824,0.0467729,0.2727003,0.2940653,0.1952522,0.1409496,0.0970326,0.1685106,0.1957447,0.2293617,0.2131915,0.1931915,0.1067055,0.174344,0.1970845,0.2344023,0.2874635,0.0997204,0.1323392,0.1705499,0.2320596,0.3653308,0.3652641,0.2514175,0.1753208,0.1279469,0.0800507,0.2554461,0.2672337,0.1850194,0.1509251,0.1413757
10501,Columbus,MS,8500,0.3654254,0.3611868,0.1568271,0.0805328,0.0360279,0.2816902,0.3059738,0.2059252,0.1345313,0.0718796,0.1817502,0.2139117,0.2311144,0.1959611,0.1772625,0.1173132,0.1608325,0.1986755,0.256386,0.2667928,0.1236559,0.094086,0.1626344,0.2768817,0.3427419,0.3885882,0.2422353,0.1572941,0.1243529,0.0875294,0.2642353,0.2763529,0.1861176,0.1508235,0.1224706
10502,Starkville,MS,8128,0.3789137,0.3546326,0.1498403,0.0766773,0.0399361,0.2850856,0.3095354,0.196577,0.1305624,0.0782396,0.1763838,0.2154981,0.2169742,0.2317343,0.1594096,0.1131078,0.1553911,0.2114165,0.2399577,0.2801268,0.1088957,0.1334356,0.1457055,0.2423313,0.3696319,0.3850886,0.2515994,0.1667077,0.1163878,0.0802165,0.2689469,0.2791585,0.179626,0.148376,0.1238927
10600,Jasper,AL,12610,0.3482655,0.2616771,0.1712647,0.1322043,0.0865884,0.2344786,0.2371911,0.1968053,0.1853526,0.1461724,0.1714703,0.1725648,0.1886173,0.2283838,0.2389639,0.1310202,0.1418954,0.1719316,0.2532367,0.3019161,0.1220021,0.1032325,0.1511992,0.2356621,0.3879041,0.2903251,0.2631245,0.2173672,0.1531324,0.0760508,0.2294211,0.2054718,0.1803331,0.1934972,0.1912768
10700,Birmingham,AL,79277,0.3391425,0.344232,0.1715505,0.0946432,0.0504318,0.2632362,0.2908983,0.2059488,0.1416419,0.0982748,0.191775,0.2201809,0.2179197,0.1994771,0.1706473,0.1442768,0.1699669,0.1997056,0.2324623,0.2535885,0.1167038,0.1281581,0.1732557,0.2273203,0.3545621,0.2453675,0.2120413,0.1785133,0.1713612,0.1927167,0.2204801,0.2392749,0.1922752,0.172509,0.1754607
10801,Tuscaloosa,AL,21047,0.3444892,0.3739247,0.1623656,0.0788978,0.0403226,0.2704583,0.3005319,0.2084697,0.1309329,0.0896072,0.177096,0.2162819,0.2120292,0.2029162,0.1916768,0.1401564,0.1678618,0.1971969,0.2350065,0.2597784,0.1369224,0.1305638,0.1543027,0.2255193,0.3526918,0.3534946,0.2322421,0.1564118,0.145769,0.1120825,0.2480639,0.2749085,0.1850145,0.14957,0.1424431
10802,Demopolis,AL,5544,0.3354658,0.3538585,0.179928,0.0883647,0.042383,0.2686012,0.3199405,0.2046131,0.1279762,0.078869,0.1934477,0.224649,0.1918877,0.1887676,0.201248,0.145768,0.1677116,0.184953,0.2257053,0.2758621,0.1047619,0.1309524,0.1785714,0.2309524,0.3547619,0.4511183,0.2424242,0.1156205,0.1150794,0.0757576,0.2635281,0.2923882,0.1877706,0.1361833,0.1201299
10900,Pensacola,FL,46546,0.339586,0.3044146,0.1817594,0.1130336,0.0612063,0.2372414,0.2526724,0.2265517,0.1741379,0.1093966,0.1692644,0.2095525,0.2438246,0.2177559,0.1596026,0.1399341,0.1772865,0.223565,0.2371601,0.2220544,0.1253179,0.1398844,0.1868208,0.2430058,0.3049711,0.2657156,0.2492158,0.2357023,0.1564474,0.0929188,0.2227904,0.2339836,0.2145619,0.1844412,0.1442229
11001,Mobile,AL,50062,0.3085791,0.3785109,0.167569,0.0939431,0.051398,0.2531884,0.3125561,0.1918448,0.1457697,0.0966409,0.1840239,0.2309993,0.2066253,0.2046311,0.1737204,0.1325739,0.1757637,0.2001753,0.2346019,0.2568853,0.1121841,0.1310156,0.1675519,0.2343473,0.354901,0.3136311,0.2224042,0.1802964,0.1595621,0.1241061,0.2213455,0.27418,0.1852103,0.165295,0.1539691
11002,Atmore,AL,6350,0.3079646,0.3606195,0.1889381,0.0946903,0.0477876,0.2391714,0.2793472,0.2146893,0.1676083,0.0991839,0.1561668,0.2209405,0.2315883,0.2049689,0.1863354,0.135101,0.1515152,0.2247475,0.2222222,0.2664141,0.0882353,0.1193772,0.1885813,0.2318339,0.3719723,0.3559055,0.2508661,0.1774803,0.1247244,0.0910236,0.2222047,0.2674016,0.2074016,0.1609449,0.1420472
11101,Montgomery,AL,30989,0.3459632,0.3816849,0.160128,0.0791865,0.0330374,0.2659706,0.3273801,0.2000275,0.1331227,0.0734991,0.1824789,0.2353172,0.2251031,0.2007464,0.1563544,0.1431282,0.1682125,0.2051012,0.2422007,0.2413575,0.1102889,0.1195989,0.1797565,0.2363333,0.3540224,0.3125625,0.2348898,0.1642841,0.1530866,0.135177,0.2374068,0.2767756,0.1897125,0.1580238,0.1380813
11102,Troy,AL,6447,0.3140429,0.3067584,0.1906111,0.1205989,0.0679887,0.2052058,0.2838983,0.2124697,0.1688862,0.12954,0.1396855,0.1979648,0.1961147,0.2349676,0.2312673,0.1015831,0.1385224,0.1846966,0.2612137,0.3139842,0.0845361,0.1092784,0.1443299,0.2886598,0.3731959,0.3832791,0.2562432,0.1676749,0.1175741,0.0752288,0.2146735,0.2480223,0.192958,0.1813246,0.1630216
11201,Bluefield,VA,13629,0.3463627,0.223127,0.1647666,0.1549946,0.1107492,0.2215093,0.2059273,0.2141766,0.1992056,0.1591812,0.176544,0.1590767,0.2002495,0.246413,0.2177168,0.1222321,0.1408326,0.1886625,0.2595217,0.2887511,0.1142384,0.1208609,0.1556291,0.2384106,0.3708609,0.270306,0.2401497,0.2352337,0.1656761,0.0886345,0.2187248,0.1812312,0.1881283,0.2118277,0.2000881
11202,Welch,WV,3726,0.3688699,0.1954513,0.1357498,0.1400142,0.1599147,0.2317073,0.202439,0.1695122,0.1707317,0.2256097,0.2011747,0.1571219,0.1585903,0.20558,0.2775331,0.1712963,0.125,0.1373457,0.220679,0.345679,0.1764706,0.1294118,0.1,0.1882353,0.4058824,0.3776167,0.2200751,0.1827697,0.173913,0.0456253,0.2648953,0.1747182,0.1460011,0.1749866,0.2393988
11203,Big Stone Gap,VA,6126,0.3675258,0.2293814,0.1582474,0.1412371,0.1036083,0.2546973,0.1885873,0.1899791,0.2073765,0.1593598,0.1762178,0.1547278,0.1869628,0.2363897,0.245702,0.138859,0.138859,0.1829925,0.2454252,0.2938644,0.125,0.1415094,0.1745283,0.2146226,0.3443396,0.316683,0.2345739,0.2278812,0.1516487,0.0692132,0.2460006,0.1829905,0.1771139,0.1993144,0.1945805
11301,Fredericksburg,VA,19378,0.3517241,0.2285714,0.1926108,0.1325123,0.0945813,0.2574956,0.1971781,0.2239859,0.172134,0.1492064,0.1874825,0.1886051,0.1939377,0.2141454,0.2158294,0.1317844,0.1589219,0.1968402,0.2351301,0.2773234,0.108079,0.1220826,0.1734291,0.2438061,0.3526032,0.104758,0.1462999,0.1838683,0.2776344,0.2874394,0.1766436,0.1666839,0.1931056,0.2137991,0.2497678
11302,Baltimore,MD,181235,0.3844267,0.2624654,0.1824322,0.1066684,0.0640074,0.2903642,0.2355669,0.2087699,0.1531214,0.1121775,0.2080216,0.1865065,0.2065123,0.1987733,0.2001863,0.1451702,0.1468745,0.1951179,0.2313211,0.2815163,0.105682,0.1091218,0.1554146,0.2368934,0.3928882,0.173184,0.1879935,0.1718266,0.2007228,0.2662731,0.214186,0.1803239,0.1868734,0.1909234,0.2276933
11303,Colonial Beach,VA,4025,0.3761392,0.2850041,0.1806131,0.092792,0.0654515,0.2601703,0.230842,0.2261116,0.1646168,0.1182592,0.1753247,0.212987,0.2415584,0.2025974,0.1675325,0.1268534,0.1894563,0.1861614,0.2602966,0.2372323,0.125,0.1015625,0.1796875,0.2708333,0.3229167,0.2998758,0.2626087,0.1913043,0.1508075,0.0954037,0.2457143,0.2250932,0.2049689,0.1749068,0.1493168
11304,Washington DC,DC,303164,0.3232734,0.2256804,0.1929572,0.1482773,0.1098117,0.2514479,0.2070122,0.2113245,0.1816591,0.1485563,0.1972336,0.1766403,0.20853,0.2121375,0.2054586,0.1516791,0.1496952,0.1902752,0.2341377,0.2742127,0.1171783,0.1139501,0.152759,0.2350199,0.3810926,0.1257999,0.1583367,0.1600157,0.1828911,0.3729565,0.1834849,0.1593098,0.1828746,0.2118358,0.2624949
11401,Marquette,MI,9976,0.3130266,0.2436811,0.1937784,0.1529488,0.0965651,0.2250294,0.2173913,0.206228,0.2115159,0.1398355,0.16253,0.2033627,0.2013611,0.2193755,0.2133707,0.12627,0.1665457,0.1832366,0.2416546,0.2822932,0.0947867,0.1367637,0.1943128,0.238998,0.3351388,0.1546712,0.1706095,0.250401,0.276263,0.1480553,0.1764234,0.1919607,0.1949679,0.2168204,0.2198276
11402,Marinette,MI,10135,0.2844165,0.2396925,0.2054507,0.1677149,0.1027254,0.1901811,0.2044805,0.2430887,0.2111535,0.1510963,0.131835,0.1603489,0.2301241,0.2559544,0.2217377,0.0887261,0.1461131,0.2112332,0.2792023,0.2747253,0.0873288,0.1224315,0.1729452,0.2568493,0.3604452,0.1411939,0.2070054,0.2941293,0.2424272,0.1152442,0.1498767,0.1728663,0.2181549,0.2399605,0.2191416
11403,Sault Ste. Marie,MI,4167,0.3080513,0.2718787,0.1773629,0.1435239,0.0991832,0.2255639,0.2847744,0.2095865,0.1729323,0.1071429,0.1403337,0.2257115,0.2335623,0.2227674,0.1776251,0.1390498,0.1761298,0.2317497,0.2560834,0.1969873,0.0769231,0.1730769,0.1840659,0.271978,0.293956,0.2056635,0.2553396,0.2445404,0.2071034,0.087353,0.1907847,0.2354212,0.2111831,0.2049436,0.1576674
11500,Jackson,MI,24729,0.3691122,0.2671995,0.1784185,0.122181,0.0630888,0.2443592,0.2484206,0.2136733,0.1856949,0.107852,0.1858643,0.2171978,0.2193342,0.2205804,0.1570233,0.1267648,0.1701712,0.2249925,0.2550316,0.22304,0.1099801,0.1402965,0.185218,0.2447444,0.319761,0.1416555,0.1792228,0.2271422,0.2692385,0.1827409,0.192527,0.2031623,0.2078127,0.2140806,0.1824174
11600,Detroit,MI,392121,0.3566664,0.3323819,0.1631633,0.0931956,0.0545928,0.2713197,0.2852228,0.2023312,0.1459643,0.095162,0.2146778,0.2392038,0.2112709,0.1860036,0.1488439,0.1647046,0.1982414,0.2108653,0.2181686,0.2080202,0.1231029,0.1451332,0.177931,0.2326415,0.3211913,0.161723,0.1452766,0.1616899,0.2276721,0.3036384,0.2066862,0.2230689,0.1919765,0.1866618,0.1916067
11700,Lansing,MI,35342,0.3672341,0.2942737,0.1567544,0.117621,0.0641167,0.2505358,0.2600818,0.2131307,0.1675434,0.1087084,0.1917257,0.2132445,0.2239345,0.2104679,0.1606275,0.1378542,0.1836995,0.213414,0.2365489,0.2284835,0.11766,0.1377483,0.1782561,0.239404,0.3269316,0.127978,0.145238,0.2038085,0.2666233,0.2563522,0.1893781,0.203186,0.199253,0.2067229,0.20146
11800,Mount Pleasant,MI,10098,0.3415385,0.2641026,0.1871795,0.1425641,0.0646154,0.2360248,0.2488909,0.2133984,0.1827862,0.1188997,0.1777778,0.209465,0.2102881,0.2325103,0.1699588,0.1099005,0.171009,0.2093794,0.2553292,0.2543818,0.0857354,0.1271249,0.1744272,0.2801183,0.3325942,0.1931075,0.2232125,0.2406417,0.2090513,0.1339869,0.1958804,0.2097445,0.201525,0.2151911,0.1776589
11900,Saginaw,MI,44445,0.358109,0.28945,0.1728713,0.1151617,0.0644081,0.2324556,0.2557145,0.2077262,0.1784521,0.1256517,0.172399,0.2074377,0.2138865,0.2283964,0.1778805,0.1312148,0.1787384,0.1966791,0.2385724,0.2547953,0.1088341,0.1348482,0.1795498,0.2414525,0.3353153,0.1746653,0.1683204,0.2093374,0.2357745,0.2119024,0.1917651,0.2077399,0.1943526,0.2053774,0.200765
12001,Big Rapids,MI,10092,0.3525983,0.2408936,0.1845556,0.1476445,0.0743079,0.2374411,0.2543171,0.2240973,0.1777865,0.1063579,0.1596444,0.2071898,0.2319289,0.2419791,0.1592578,0.1199377,0.1666667,0.2014538,0.2715473,0.2403946,0.1039095,0.1378601,0.1728395,0.2582304,0.3271605,0.204023,0.2524772,0.2563417,0.1908442,0.0963139,0.2057075,0.2115537,0.2087792,0.2137336,0.1602259
12002,Ludington,MI,4149,0.2944785,0.3386503,0.1705521,0.1202454,0.0760736,0.2176279,0.2600653,0.2241567,0.1686616,0.1294886,0.158363,0.2233096,0.2215302,0.2357651,0.161032,0.092233,0.1723301,0.2220874,0.243932,0.2694175,0.0920771,0.1199143,0.1948608,0.2762313,0.3169165,0.1964329,0.2214992,0.2709087,0.1986021,0.1125572,0.1776332,0.2323451,0.209207,0.2043866,0.176428
