CZ,CZ Name,State,Children in 1980-85 Cohorts,P(Child q1 |Par q1),P(Child q2 |Par q1),P(Child q3 |Par q1),P(Child q4 |Par q1),P(Child q5 |Par q1),P(Child q1 |Par q2),P(Child q2 |Par q2),P(Child q3 |Par q2),P(Child q4 |Par q2),P(Child q5 |Par q2),P(Child q1 |Par q3),P(Child q2 |Par q3),P(Child q3 |Par q3),P(Child q4 |Par q3),P(Child q5 |Par q3),P(Child q1 |Par q4),P(Child q2 |Par q4),P(Child q3 |Par q4),P(Child q4 |Par q4),P(Child q5 |Par q4),P(Child q1 |Par q5),P(Child q2 |Par q5),P(Child q3 |Par q5),P(Child q4 |Par q5),P(Child q5 |Par q5),P(Par q1),P(Par q2),P(Par q3),P(Par q4),P(Par q5),P(Child Q1),P(Child Q2),P(Child Q3),P(Child Q4),P(Child Q5)
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Greensboro,NC,69646,0.3946773,0.2982372,0.1648947,0.0947939,0.0473969,0.2944926,0.2649134,0.2016089,0.1495049,0.0894802,0.1950733,0.2194219,0.2187811,0.2142247,0.1524989,0.1428252,0.1795751,0.2139396,0.2430861,0.220574,0.1152368,0.1387384,0.1860912,0.2392102,0.3207234,0.20933,0.2320306,0.2016771,0.192617,0.1643454,0.2367401,0.2255406,0.1972116,0.1838727,0.156635
601,North Wilkesboro,NC,5927,0.3807502,0.2583157,0.1832979,0.1259731,0.0516631,0.2569028,0.2533013,0.2178871,0.1668667,0.105042,0.1997226,0.2004161,0.2191401,0.2163662,0.1643551,0.1182033,0.1572104,0.2056738,0.2659574,0.2529551,0.1160714,0.1392857,0.2,0.2071429,0.3375,0.2384005,0.2810866,0.2432934,0.1427366,0.0944829,0.2394129,0.2171419,0.2065126,0.1871098,0.1498228
602,Galax,VA,3790,0.3645161,0.2376344,0.1849462,0.1333333,0.0795699,0.2249071,0.2379182,0.222119,0.2100372,0.1050186,0.1376323,0.2107796,0.2271415,0.2425409,0.1819057,0.1164122,0.1469466,0.1889313,0.2709924,0.2767175,0.0904977,0.1040724,0.1945701,0.239819,0.3710407,0.2453826,0.283905,0.2741425,0.1382586,0.0583113,0.2124011,0.2100264,0.2081794,0.2102902,0.1591029
700,Spartanburg,SC,24797,0.358721,0.3172265,0.185917,0.0950243,0.0431112,0.2749881,0.2904511,0.2174398,0.1469791,0.0701419,0.1905955,0.2200809,0.2306803,0.2133359,0.1453074,0.1212187,0.1741023,0.2256801,0.2620239,0.216975,0.116924,0.1333123,0.1670344,0.2477151,0.3350142,0.224503,0.2529742,0.2092592,0.1853047,0.127959,0.2274065,0.2400694,0.2082107,0.1834093,0.1409041
800,Gastonia,NC,29902,0.4097501,0.2744523,0.1672323,0.0970379,0.0515273,0.316993,0.2631795,0.1985485,0.1407641,0.0805149,0.2174434,0.2196913,0.2240372,0.1946651,0.144163,0.1466399,0.1747947,0.2187029,0.2404894,0.2193732,0.1072764,0.1202186,0.1832039,0.2516537,0.3376474,0.2167748,0.2442311,0.2231623,0.1995519,0.1162798,0.2565046,0.2216574,0.1996856,0.1761086,0.1460437
900,Charlotte,NC,97400,0.3819485,0.3145582,0.1731914,0.0865167,0.0437852,0.286164,0.2843933,0.2115489,0.1356057,0.0822881,0.1984473,0.2299541,0.2291608,0.1947073,0.1477305,0.1484318,0.1840679,0.217047,0.2299677,0.2204856,0.1169467,0.1336063,0.1849969,0.230505,0.3339451,0.1948563,0.2087372,0.1811807,0.1970637,0.2181622,0.2248768,0.2277413,0.2025565,0.1760472,0.1687782
1001,Boone,NC,4332,0.3298479,0.2671103,0.210076,0.1368821,0.0560836,0.2207679,0.2452007,0.2390925,0.1989529,0.095986,0.1793855,0.2031715,0.234886,0.2338949,0.148662,0.1290323,0.183871,0.2145161,0.2790323,0.1935484,0.1287129,0.1663366,0.219802,0.2277228,0.2574258,0.242844,0.2645429,0.2329178,0.143121,0.1165743,0.2137581,0.2227609,0.2253001,0.2068329,0.1313481
1002,Morganton,NC,10458,0.3947369,0.2527223,0.180127,0.1179673,0.0544465,0.2904579,0.2359315,0.2086683,0.168123,0.0968193,0.1699756,0.2072449,0.2368513,0.2427725,0.1431557,0.1469248,0.1685649,0.2215262,0.2528474,0.2101367,0.1214099,0.1396867,0.2010444,0.2362924,0.3015666,0.2107477,0.2735705,0.2745267,0.1679097,0.0732454,0.2428763,0.2132339,0.2119908,0.1972653,0.1346338
1100,Hickory,NC,25774,0.4020079,0.2746287,0.1773687,0.1010249,0.0449697,0.2947605,0.2584378,0.2065252,0.1563806,0.0838959,0.2074351,0.2160923,0.2283144,0.2132066,0.1349516,0.1445964,0.1629519,0.229631,0.250796,0.2120247,0.1118328,0.1296244,0.1852584,0.2473877,0.3258967,0.185497,0.2414061,0.2285637,0.2071467,0.1373865,0.2384574,0.2142857,0.2079615,0.1911616,0.1481338
1201,Franklin,NC,2729,0.3399694,0.295559,0.1807044,0.1271057,0.0566616,0.2439353,0.2102426,0.2008086,0.2304582,0.1145553,0.1669086,0.2017417,0.2409289,0.2365747,0.1538462,0.1346633,0.2069825,0.2319202,0.2319202,0.1945137,0.0819672,0.1352459,0.1967213,0.2786885,0.307377,0.2392818,0.2718945,0.2524734,0.1469403,0.08941,0.2169293,0.2213265,0.2103335,0.2117992,0.1396116
